run	subcxi	event	id	multi	a	b	c	alpha	beta	gamma	indby	phoen	bmdv	bmbw	npeak	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	/LCLS/machineTime	/LCLS/machineTimeNanoSeconds	/LCLS/fiducial	/cheetah/frameNumber	row	col	chiprow	chipframe
105	1	1266	0105011266	2	12.951660	22.180780	31.647240	89.059448	90.790482	89.145920	mosflm-comb-latt-nocell-retry-multi-refine	9471.927734	0.000000	0.000000	110	0.007970	-0.023000	0.013000	1.900000	9178	0	57	0.060327	-0.028347	0.039000	0.003049	-0.033291	-0.030266	0.019872	0.017870	-0.016872	1506768128	96998536	18735	21638	59	261	59	21638
105	1	1352	0105011352	1	13.135410	22.649630	30.493910	89.053619	89.019081	89.145943	mosflm-comb-latt-nocell-retry-multi-refine	9477.615234	0.000000	0.000000	131	0.011300	-0.041000	0.015000	1.560000	12984	0	74	0.066049	0.001423	-0.037872	0.000373	-0.044159	0.000289	-0.016798	0.000207	-0.028175	1506768128	906455168	20106	21806	60	314	60	21806
105	1	1413	0105011413	1	13.053240	23.036230	30.593679	89.103569	90.968781	90.612167	dirax-comb-nolatt-nocell-retry-multi-refine	9477.506836	0.000000	0.000000	56	0.003870	0.013000	0.014000	1.300000	4513	0	15	0.037790	-0.066628	-0.001989	-0.031575	-0.017714	-0.023965	0.015987	0.009244	-0.026980	1506768128	589993600	20352	21888	60	232	60	21888
105	1	1512	0105011512	1	13.163760	22.528500	30.822241	89.007729	90.169930	89.053558	mosflm-comb-latt-nocell-retry-multi-refine	9466.803711	0.000000	0.000000	61	0.008480	-0.019000	0.000000	1.250000	9407	0	15	0.016062	-0.041862	0.061335	0.035717	-0.015850	-0.021083	0.017409	0.024477	0.012278	1506768128	606982784	20718	22010	60	110	60	22010
105	1	1582	0105011582	1	13.083050	22.692249	30.788710	89.166206	89.746140	90.315483	mosflm-comb-latt-nocell-retry-multi-refine	9478.908203	0.000000	0.000000	119	0.005120	-0.009000	0.011000	1.310000	5916	0	27	0.010681	0.075402	0.006558	-0.043313	0.006779	-0.004530	-0.003277	-0.002487	0.032222	1506768128	233191712	22023	22156	61	35	61	22156
105	1	1603	0105011603	1	12.994880	22.589479	30.611401	89.035271	89.333191	90.015266	mosflm-comb-latt-nocell-retry-multi-refine	9476.271484	0.000000	0.000000	161	0.013410	0.001000	0.008000	1.240000	15297	0	68	0.001850	0.076903	0.002277	0.043882	-0.001206	0.005761	0.003720	0.000491	-0.032458	1506768128	458258112	22104	22183	61	62	61	22183
105	1	1669	0105011669	1	13.053430	22.571890	30.989771	89.137062	89.518021	90.028809	mosflm-comb-latt-nocell-retry-multi-refine	9472.749023	0.000000	0.000000	89	0.004170	0.012000	-0.001000	1.250000	4740	0	27	-0.049488	-0.034465	0.047248	0.025406	0.010919	0.034620	-0.016350	0.027700	0.002640	1506768128	266878304	22395	22280	61	159	61	22280
105	1	1772	0105011772	1	13.110000	22.588461	30.730049	89.183052	89.476860	89.609680	mosflm-comb-latt-nocell-retry-multi-refine	9450.668945	0.000000	0.000000	156	0.010340	-0.035000	0.001000	2.150000	11929	0	21	0.048064	0.031654	-0.050069	0.028633	-0.033026	0.007058	-0.014267	-0.016859	-0.023906	1506768256	425676640	22812	22419	61	298	61	22419
105	1	1867	0105011867	1	12.951590	23.302660	30.177179	89.173042	89.372673	90.186073	mosflm-comb-latt-nocell-retry-multi-refine	9470.857422	0.000000	0.000000	48	0.002600	0.025000	-0.025000	1.180000	2956	0	12	-0.031949	-0.069365	0.011400	-0.032247	0.010358	-0.026359	0.017612	-0.011886	-0.025436	1506768256	93964864	24132	22582	62	281	62	22582
105	1	1903	0105011903	1	13.022460	22.847050	30.792870	89.211769	89.161858	89.874290	mosflm-comb-latt-nocell-retry-multi-refine	9473.880859	0.000000	0.000000	136	0.006310	-0.007000	-0.025000	1.390000	7265	0	24	-0.046980	0.060713	0.002212	0.029430	0.023477	-0.022335	-0.013611	-0.010123	-0.027701	1506768256	502445600	24279	22631	62	232	62	22631
